Make,Type,Model Type,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Hyundai,Domestic,PC,G80 (RG3 EV),0.0,0.0,0.0,0.0,0.0,0.0,35.0,142.0,135.0,536.0,275.0,230.0,1353.0,2021
Hyundai,Domestic,PC,G90,594.0,434.0,597.0,774.0,662.0,398.0,355.0,203.0,261.0,270.0,240.0,301.0,5089.0,2021
Hyundai,Domestic,PC,G90 (RS4),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,,,Sub-total,25536.0,21360.0,30485.0,31624.0,26887.0,28327.0,20373.0,17341.0,18015.0,25739.0,22289.0,27746.0,295722.0,2021
Hyundai,Domestic,RV,Casper (AX),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,2506.0,3965.0,4127.0,10806.0,2021
Hyundai,Domestic,RV,Venue,1069.0,1099.0,1441.0,1224.0,1001.0,1418.0,754.0,965.0,1163.0,1003.0,1194.0,1165.0,13496.0,2021
Hyundai,Domestic,RV,Kona (OS),911.0,860.0,1060.0,839.0,553.0,547.0,606.0,718.0,332.0,648.0,480.0,912.0,8466.0,2021
Hyundai,Domestic,RV,Kona (OS HEV),277.0,239.0,306.0,258.0,197.0,92.0,90.0,110.0,11.0,264.0,52.0,224.0,2120.0,2021
Hyundai,Domestic,RV,Kona (OS EV),8.0,167.0,809.0,397.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429.0,2021
Hyundai,Domestic,RV,Kona (OS N),0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,4.0,63.0,63.0,42.0,229.0,2021
Hyundai,Domestic,RV,Tucson (TL),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021
Hyundai,Domestic,RV,Tucson (NX4),4415.0,4209.0,3380.0,3330.0,2167.0,2471.0,2689.0,2542.0,1567.0,1776.0,2052.0,2206.0,32804.0,2021
Hyundai,Domestic,RV,Tucson (NX4 HEV),2318.0,1660.0,1605.0,1148.0,821.0,867.0,1283.0,1279.0,526.0,1135.0,1809.0,1121.0,15572.0,2021
Hyundai,Domestic,RV,NEXO(FE),142.0,568.0,934.0,1265.0,756.0,751.0,490.0,556.0,939.0,940.0,865.0,296.0,8502.0,2021
Hyundai,Domestic,RV,IONIQ 5 (NE),0.0,0.0,0.0,114.0,1919.0,3667.0,3447.0,3337.0,2983.0,3783.0,2228.0,1193.0,22671.0,2021
